,Biomass(ha)
1990,4285410.09
1991,4280129.34
1992,4274848.63
1993,4269567.91
1994,4264287.15
1995,4259006.42
1996,4253725.67
1997,4248444.95
1998,4243164.1899999995
1999,4237883.48
2000,4232602.7299999995
2001,4231239.51
2002,4229876.2700000005
2003,4228513.0600000005
2004,4227149.82
2005,4225786.6
2006,4223885.9399999995
2007,4221985.2299999995
2008,4220084.61
2009,4218183.93
2010,4216283.27
2011,4214516.42
2012,4212750.75
2013,4210985.1
2014,4209219.43
2015,4207453.76
2016,4205688.09
