,average_anual_temp(c),ppm,acres,Unit,Prcp,Biomass(ha)
1990,9.1975,351.772,4621621,Inches,44.75,4285410.09
1991,9.078,353.212,2953578,Inches,35.42,4280129.34
1992,7.397916666666667,354.63800000000003,2069929,Inches,32.78,4274848.63
1993,7.835916666666665,356.07099999999997,1797574,Inches,28.8,4269567.91
1994,7.963833333333333,357.535,4073579,Inches,34.82,4264287.15
1995,8.126333333333333,359.04699999999997,1840546,Inches,42.599999999999994,4259006.42
1996,7.932499999999998,360.615,6065998,Inches,50.67,4253725.67
1997,7.867416666666667,362.241,2856959,Inches,43.26,4248444.95
1998,9.63166666666667,363.92400000000004,1329704,Inches,44.06,4243164.1899999995
1999,9.304249999999998,365.657,5626093,Inches,42.11,4237883.48
2000,7.998916666666667,367.43199999999996,7393493,Inches,28.66,4232602.7299999995
2001,8.911416666666668,369.24699999999996,3570911,Inches,37.56,4231239.51
2002,9.01575,371.103,7184712,Inches,31.36,4229876.2700000005
2003,7.775666666666666,372.999,3960842,Inches,41.78,4228513.0600000005
2004,8.089083333333333,374.926,8097880,Inches,31.1,4227149.82
2005,8.555916666666667,376.87699999999995,8689389,Inches,35.440000000000005,4225786.6
2006,9.482583333333332,378.847,9873745,Inches,48.42,4223885.9399999995
2007,8.3645,380.837,9328045,Inches,38.95,4221985.2299999995
2008,8.533666666666667,382.849,5292468,Inches,30.729999999999997,4220084.61
2009,8.069083333333335,384.892,5921786,Inches,38.44,4218183.93
2010,9.580166666666669,386.976,3422724,Inches,46.99000000000001,4216283.27
2011,9.12358333333333,389.11,8711367,Inches,36.39,4214516.42
2012,10.064666666666666,391.30199999999996,9326238,Inches,48.260000000000005,4212750.75
2013,11.11111111111111,393.55300000000005,4319546,Inches,32.56,4210985.1
2014,10.611111111111112,395.85699999999997,3595613,Inches,48.5,4209219.43
2015,10.88888888888889,398.205,10125149,Inches,44.83,4207453.76
2016,11.88888888888889,400.585,5509995,Inches,45.18000000000001,4205688.09
