,acres
1926,24316000
1927,38531000
1928,43542000
1929,46230000
1930,52266000
1931,51607000
1932,42063000
1933,43890000
1934,41821000
1935,30335000
1936,43207000
1937,21981000
1938,33815000
1939,30449000
1940,25848000
1941,26405000
1942,31854000
1943,32333000
1944,16549000
1945,17681000
1946,20691000
1947,23226000
1948,16557000
1949,15397000
1950,15519000
1951,10781000
1952,14187000
1953,9976000
1954,8833000
1955,8069000
1956,6606000
1957,3410000
1958,3280000
1959,4156000
1960,4478188
1961,3036219
1962,4078894
1963,7120768
1964,4197309
1965,2652112
1966,4574389
1967,4658586
1968,4231996
1969,6689081
1970,3278565
1971,4278472
1972,2641166
1973,1915273
1974,2879095
1975,1791327
1976,5109926
1977,3152644
1978,3910913
1979,2986826
1980,5260825
1981,4814206
1982,2382036
1983,1323666
1984,1148409
1985,2896147
1986,2719162
1987,2447296
1988,5009290
1989,1827310
1990,4621621
1991,2953578
1992,2069929
1993,1797574
1994,4073579
1995,1840546
1996,6065998
1997,2856959
1998,1329704
1999,5626093
2000,7393493
2001,3570911
2002,7184712
2003,3960842
2004,8097880
2005,8689389
2006,9873745
2007,9328045
2008,5292468
2009,5921786
2010,3422724
2011,8711367
2012,9326238
2013,4319546
2014,3595613
2015,10125149
2016,5509995
2017,10026086
2018,8767492
